Symbol,Previous_Close,Open,Bid,Ask,Days_Range,52_Week_Range,Volume,Avg_Volume,Market_Cap,Beta,PE_Ratio,EPS(TTM),Earnings_Date,Dividend_and_Yield,Ex_Dividend_Date,1yr_Target_Est
CTSH,55.30,55.35,55.23 x 400,55.25 x 700,55.02 - 55.41,45.44 - 63.43,377,099,7,437,257,33.57B,0.97,21.62,N/A,N/A,N/A (N/A),N/A,N/A
EBAY,28.21,28.14,28.48 x 1100,28.49 x 1200,28.14 - 28.59,21.52 - 33.19,899,559,10,600,450,31.77B,1.57,18.25,N/A,N/A,N/A (N/A),N/A,N/A
TNGO,8.00,8.11,7.90 x 600,8.01 x 100,7.93 - 8.11,5.32 - 10.39,4,178,154,290,313.48M,1.22,-74.30,N/A,N/A,N/A (N/A),N/A,N/A
